Raised,Spent,Loans,Burn_Rate,Unitemized_Rate,Cash_on_Hand
Period Raised,Period Spent,Period Loans,Period Burn Rate,Period % Unitemized Donations,Period Cash on Hand
2839690.46,2988649.54,0.00,105.25%,50.58%,5785590.01
